Province/State,Country/Region,Lat,Long,Date,Confirmed,Recovered,Deaths,is_full_state,county,state,county_fips,state_fips,state_code,confirmed_yesterday,confirmed_delta_today
Washington,US,47.4009,-121.4905,2020-03-16,904,1,48,True,,Washington,,53,WA,643,261
New York,US,42.1657,-74.9481,2020-03-16,967,0,10,True,,New York,,36,NY,732,235
California,US,36.1162,-119.6816,2020-03-16,557,6,7,True,,California,,06,CA,426,131
New Jersey,US,40.2989,-74.521,2020-03-16,178,1,2,True,,New Jersey,,34,NJ,98,80
Diamond Princess,US,35.4437,139.638,2020-03-16,47,0,0,False,,,,,,0,47
Louisiana,US,31.1695,-91.8678,2020-03-16,136,0,3,True,,Louisiana,,22,LA,91,45
Florida,US,27.7663,-81.6868,2020-03-16,155,0,5,True,,Florida,,12,FL,115,40
Massachusetts,US,42.2302,-71.5301,2020-03-16,197,1,0,True,,Massachusetts,,25,MA,164,33
Colorado,US,39.0598,-105.3111,2020-03-16,160,0,1,True,,Colorado,,08,CO,131,29
Georgia,US,33.0406,-83.6431,2020-03-16,121,0,1,True,,Georgia,,13,GA,99,22
Nevada,US,38.3135,-117.0554,2020-03-16,45,0,1,True,,Nevada,,32,NV,24,21
Grand Princess,US,37.6489,-122.6655,2020-03-16,20,0,0,False,,,,,,0,20
Michigan,US,43.3266,-84.5361,2020-03-16,53,0,0,True,,Michigan,,26,MI,33,20
Minnesota,US,45.6945,-93.9002,2020-03-16,54,0,0,True,,Minnesota,,27,MN,35,19
Alabama,US,32.3182,-86.9023,2020-03-16,29,0,0,True,,Alabama,,01,AL,12,17
Wisconsin,US,44.2685,-89.6165,2020-03-16,47,1,0,True,,Wisconsin,,55,WI,32,15
Tennessee,US,35.7478,-86.6923,2020-03-16,52,0,0,True,,Tennessee,,47,TN,39,13
Ohio,US,40.3888,-82.7649,2020-03-16,50,0,0,True,,Ohio,,39,OH,37,13
Texas,US,31.0545,-97.5635,2020-03-16,85,0,0,True,,Texas,,48,TX,72,13
Illinois,US,40.3495,-88.9861,2020-03-16,105,2,0,True,,Illinois,,17,IL,93,12
Pennsylvania,US,40.5908,-77.2098,2020-03-16,77,0,0,True,,Pennsylvania,,42,PA,66,11
Utah,US,40.15,-111.8624,2020-03-16,39,0,0,True,,Utah,,49,UT,28,11
Maryland,US,39.0639,-76.8021,2020-03-16,41,3,0,True,,Maryland,,24,MD,32,9
District of Columbia,US,38.8974,-77.0268,2020-03-16,22,0,0,True,,District of Columbia,,,DC,16,6
Arkansas,US,34.9697,-92.3731,2020-03-16,22,0,0,True,,Arkansas,,05,AR,16,6
Connecticut,US,41.5978,-72.7554,2020-03-16,30,0,0,True,,Connecticut,,09,CT,24,6
Indiana,US,39.8494,-86.2583,2020-03-16,25,0,1,True,,Indiana,,18,IN,20,5
Maine,US,44.6939,-69.3819,2020-03-16,17,0,0,True,,Maine,,23,ME,12,5
Arizona,US,33.7298,-111.4312,2020-03-16,18,1,0,True,,Arizona,,04,AZ,13,5
Iowa,US,42.0115,-93.2105,2020-03-16,23,0,0,True,,Iowa,,19,IA,18,5
South Carolina,US,33.8569,-80.945,2020-03-16,33,0,1,True,,South Carolina,,45,SC,28,5
North Carolina,US,35.6301,-79.8064,2020-03-16,38,0,0,True,,North Carolina,,37,NC,33,5
Vermont,US,44.0459,-72.7107,2020-03-16,12,0,0,True,,Vermont,,50,VT,8,4
New Mexico,US,34.8405,-106.2485,2020-03-16,17,0,0,True,,New Mexico,,35,NM,13,4
Virginia,US,37.7693,-78.17,2020-03-16,49,0,1,True,,Virginia,,51,VA,45,4
New Hampshire,US,43.4525,-71.5639,2020-03-16,17,0,0,True,,New Hampshire,,33,NH,13,4
Oklahoma,US,35.5653,-96.9289,2020-03-16,10,0,0,True,,Oklahoma,,40,OK,7,3
Oregon,US,44.571999999999996,-122.0709,2020-03-16,39,0,1,True,,Oregon,,41,OR,36,3
Kansas,US,38.5266,-96.7265,2020-03-16,11,0,1,True,,Kansas,,20,KS,8,3
Mississippi,US,32.7416,-89.6787,2020-03-16,13,0,0,True,,Mississippi,,28,MS,10,3
Nebraska,US,41.1254,-98.2681,2020-03-16,18,0,0,True,,Nebraska,,31,NE,17,1
Rhode Island,US,41.6809,-71.5118,2020-03-16,21,0,0,True,,Rhode Island,,44,RI,20,1
Kentucky,US,37.6681,-84.6701,2020-03-16,21,1,1,True,,Kentucky,,21,KY,20,1
Missouri,US,38.4561,-92.2884,2020-03-16,6,0,0,True,,Missouri,,29,MO,5,1
Delaware,US,39.3185,-75.5071,2020-03-16,8,0,0,True,,Delaware,,10,DE,7,1
South Dakota,US,44.2998,-99.4388,2020-03-16,10,0,1,True,,South Dakota,,46,SD,9,1
Hawaii,US,21.0943,-157.4983,2020-03-16,7,0,0,True,,Hawaii,,15,HI,6,1
"Hillsborough, FL",US,27.9904,-82.3018,2020-03-16,0,0,0,False,Hillsborough,Florida,12057,12,FL,0,0
"Sonoma County, CA",US,38.578,-122.9888,2020-03-16,0,0,0,False,Sonoma County,California,06097,06,CA,0,0
"San Mateo, CA",US,37.563,-122.3255,2020-03-16,0,0,0,False,San Mateo,California,06081,06,CA,0,0
"Placer County, CA",US,39.0916,-120.8039,2020-03-16,0,0,0,False,Placer County,California,06061,06,CA,0,0
"Westchester County, NY",US,41.122,-73.7949,2020-03-16,0,0,0,False,Westchester County,New York,36119,36,NY,0,0
"Grafton County, NH",US,43.9088,-71.82600000000001,2020-03-16,0,0,0,False,Grafton County,New Hampshire,33009,33,NH,0,0
"Wake County, NC",US,35.8032,-78.5661,2020-03-16,0,0,0,False,Wake County,North Carolina,37183,37,NC,0,0
